sample_ID_PSC,species,experiment,treatment,experiment_day,bin_number,sample_date,RNAseq_R1_link,RNAseq_R2_link
517,dermasterias_imbricata,multispecies,exposed,12,1,8/2/23,http://owl.fish.washington.edu/nightingales/P_helianthoides/PSC-0517_R1_001.fastq.gz,http://owl.fish.washington.edu/nightingales/P_helianthoides/PSC-0517_R2_001.fastq.gz
518,pisaster_ochraceus,multispecies,exposed,12,1,8/2/23,http://owl.fish.washington.edu/nightingales/P_helianthoides/PSC-0518_R1_001.fastq.gz,http://owl.fish.washington.edu/nightingales/P_helianthoides/PSC-0518_R2_001.fastq.gz
519,pycnopodia_helianthoides,multispecies,exposed,12,1,8/2/23,http://owl.fish.washington.edu/nightingales/P_helianthoides/PSC-0519_R1_001.fastq.gz,http://owl.fish.washington.edu/nightingales/P_helianthoides/PSC-0519_R2_001.fastq.gz
523,dermasterias_imbricata,multispecies,exposed,12,2,8/2/23,http://owl.fish.washington.edu/nightingales/P_helianthoides/PSC-0523_R1_001.fastq.gz,http://owl.fish.washington.edu/nightingales/P_helianthoides/PSC-0523_R2_001.fastq.gz
524,pisaster_ochraceus,multispecies,exposed,12,2,8/2/23,http://owl.fish.washington.edu/nightingales/P_helianthoides/PSC-0524_R1_001.fastq.gz,http://owl.fish.washington.edu/nightingales/P_helianthoides/PSC-0524_R2_001.fastq.gz
525,pycnopodia_helianthoides,multispecies,exposed,12,2,8/2/23,http://owl.fish.washington.edu/nightingales/P_helianthoides/PSC-0525_R1_001.fastq.gz,http://owl.fish.washington.edu/nightingales/P_helianthoides/PSC-0525_R2_001.fastq.gz
529,dermasterias_imbricata,multispecies,exposed,12,3,8/2/23,http://owl.fish.washington.edu/nightingales/P_helianthoides/PSC-0529_R1_001.fastq.gz,http://owl.fish.washington.edu/nightingales/P_helianthoides/PSC-0529_R2_001.fastq.gz
530,pisaster_ochraceus,multispecies,exposed,12,3,8/2/23,http://owl.fish.washington.edu/nightingales/P_helianthoides/PSC-0530_R1_001.fastq.gz,http://owl.fish.washington.edu/nightingales/P_helianthoides/PSC-0530_R2_001.fastq.gz
531,pycnopodia_helianthoides,multispecies,exposed,12,3,8/2/23,http://owl.fish.washington.edu/nightingales/P_helianthoides/PSC-0531_R1_001.fastq.gz,http://owl.fish.washington.edu/nightingales/P_helianthoides/PSC-0531_R2_001.fastq.gz
535,dermasterias_imbricata,multispecies,exposed,12,4,8/2/23,http://owl.fish.washington.edu/nightingales/P_helianthoides/PSC-0535_R1_001.fastq.gz,http://owl.fish.washington.edu/nightingales/P_helianthoides/PSC-0535_R2_001.fastq.gz
536,pisaster_ochraceus,multispecies,exposed,12,4,8/2/23,http://owl.fish.washington.edu/nightingales/P_helianthoides/PSC-0536_R1_001.fastq.gz,http://owl.fish.washington.edu/nightingales/P_helianthoides/PSC-0536_R2_001.fastq.gz
537,pycnopodia_helianthoides,multispecies,exposed,12,4,8/2/23,http://owl.fish.washington.edu/nightingales/P_helianthoides/PSC-0537_R1_001.fastq.gz,http://owl.fish.washington.edu/nightingales/P_helianthoides/PSC-0537_R2_001.fastq.gz
547,dermasterias_imbricata,multispecies,exposed,12,6,8/2/23,http://owl.fish.washington.edu/nightingales/P_helianthoides/PSC-0547_R1_001.fastq.gz,http://owl.fish.washington.edu/nightingales/P_helianthoides/PSC-0547_R2_001.fastq.gz
548,pisaster_ochraceus,multispecies,exposed,12,6,8/2/23,http://owl.fish.washington.edu/nightingales/P_helianthoides/PSC-0548_R1_001.fastq.gz,http://owl.fish.washington.edu/nightingales/P_helianthoides/PSC-0548_R2_001.fastq.gz
549,pycnopodia_helianthoides,multispecies,exposed,12,6,8/2/23,http://owl.fish.washington.edu/nightingales/P_helianthoides/PSC-0549_R1_001.fastq.gz,http://owl.fish.washington.edu/nightingales/P_helianthoides/PSC-0549_R2_001.fastq.gz
559,dermasterias_imbricata,multispecies,exposed,12,8,8/2/23,http://owl.fish.washington.edu/nightingales/P_helianthoides/PSC-0559_R1_001.fastq.gz,http://owl.fish.washington.edu/nightingales/P_helianthoides/PSC-0559_R2_001.fastq.gz
560,pisaster_ochraceus,multispecies,exposed,12,8,8/2/23,http://owl.fish.washington.edu/nightingales/P_helianthoides/PSC-0560_R1_001.fastq.gz,http://owl.fish.washington.edu/nightingales/P_helianthoides/PSC-0560_R2_001.fastq.gz
561,pycnopodia_helianthoides,multispecies,exposed,12,8,8/2/23,http://owl.fish.washington.edu/nightingales/P_helianthoides/PSC-0561_R1_001.fastq.gz,http://owl.fish.washington.edu/nightingales/P_helianthoides/PSC-0561_R2_001.fastq.gz